应用名称,开发者（企业）名称,开发者类型,应用类型,申请类型,版本名称,版本号,上下架时间,架位状态,合同状态,LCAID,APPID,应用包名
Mad Truck 2,3g60,个人,动作游戏,升级,1.20,3,2013-08-15 10:54:59,上架,合同签署并登陆,12172046,11975808,com.tophotapp.madtruck2
过桥拆河1.0,hellozheng,个人,动作游戏,新版本,1.0,1,2013-08-14 15:52:30,上架,合同签署并登陆,12168945,12168936,cn.easymobi.entertainment.crossapp_0
劫你妹,happiness0804,企业,动作游戏,新版本,2.1,21,2013-08-14 10:06:33,上架,合同签署并登陆,12165996,12165952,com.wx.tkwan3
噩梦跑酷 | Nightmare Runner,veer,个人,动作游戏,新版本,1.1.1,11,2013-08-12 11:46:12,上架,合同签署并登陆,12159591,12159579,com.cookiebit.NRunner
重力小子,idreamsky,企业,动作游戏,升级,1.0.5,6,2013-08-09 15:53:49,上架,合同签署并登陆,12152172,11555636,com.miniclip.ggskynet
狂砍水果,candyling7911,个人,动作游戏,新版本,1.0,1,2013-08-08 19:03:36,上架,合同签署并登陆,12149615,12149574,com.ak.crazycut
恐惧之魂,veer,个人,动作游戏,升级,1.2.2,122,2013-08-07 16:33:13,上架,合同签署并登陆,12146356,11367125,net.gree.android.pf.greeapp57201a
暴走战争（汉化）,iceskysnow,个人,动作游戏,新版本,1.1.4,6,2013-08-01 14:19:28,上架,合同签署并登陆,12124956,12124914,com.lemondoo.ragewarsfree
愤怒的捣蛋猪,dmmap_app,企业,动作游戏,新版本,1.0.6,1,2013-07-31 14:01:33,上架,合同签署并登陆,12121826,12121812,com.youshi.mm.angrypink3
丛林有情猪,dmmap_app,企业,动作游戏,新版本,1.0.2,1,2013-07-31 13:49:34,上架,合同签署并登陆,12121799,12121784,com.youshi.mm.angrypink2
海贼王：梦想之旅,sailewuxian,企业,动作游戏,新版本,1.0,1,2013-07-24 11:15:18,上架,合同签署并登陆,12104304,12104303,yct.ghzw
越跑越HIGH,dmmap_app,企业,动作游戏,新版本,1.1,1,2013-07-10 12:41:42,上架,合同签署并登陆,12059091,12059078,com.kspd.runnershigh
合金弹头XX,fanyigongsi,企业,动作游戏,升级,2.0,2,2013-06-28 10:51:06,上架,合同签署并登陆,12008555,11984296,yct.ghjdtxx
武士大战僵尸,中国移动游戏基地,企业,动作游戏,新版本,2.2.1,221,2013-06-20 17:39:48,上架,合同签署并登陆,11976329,11976307,com.glu.samuzombie_glucndx
豆豆跳跃,freedman_chen,个人,动作游戏,新版本,1.0,1,2013-06-20 00:09:42,上架,合同签署并登陆,11973677,11973665,com.jasmine.crazyjumpergles
战西游,tianlang,企业,动作游戏,升级,1.12.0615,1120615,2013-06-18 15:09:45,上架,合同签署并登陆,11965873,11944634,com.kuyue.zxydn5
战西游(豪华礼包),tianlang,企业,动作游戏,新版本,1.11.0510,1110510,2013-06-14 15:22:11,上架,合同签署并登陆,11944832,11944634,com.kuyue.zxydn5
弹弓赛车,prettyfox200,个人,动作游戏,新版本,1.3,3,2013-06-08 16:15:54,上架,合同签署并登陆,11924428,11924415,com.appgames.com.crescentmoongames.slingshotracing
火影忍者冒险,iceskysnow,个人,动作游戏,新版本,4.51,451,2013-06-07 17:15:58,上架,合同签署并登陆,11920400,11920392,com.bubblesoft.naruto
火柴人狂奔2,iceskysnow,个人,动作游戏,新版本,1.6,8,2013-06-07 16:57:55,上架,合同签署并登陆,11920358,11920348,com.djinnworks.LineRunner2.free
瑞克快跑,iloveapple8899,个人,动作游戏,新版本,1.0.5,6,2013-06-06 14:09:56,上架,合同签署并登陆,11913591,11913580,com.ruikekuaipo
洛克人Xover,veer,个人,动作游戏,新版本,1.0,2,2013-05-23 18:40:20,上架,合同签署并登陆,11838736,11838704,jp.co.capcom.android.rockmanxovercn
刺猬索尼克 | Sonic The Hedgehog,veer,个人,动作游戏,新版本,1.0.0,1,2013-05-20 13:35:56,上架,合同签署并登陆,11802356,11802333,com.sega.sonic1
100个任务,iceskysnow,个人,动作游戏,新版本,1.2.7,16,2013-05-17 16:00:01,上架,合同签署并登陆,11802252,11802210,com.mpisoft.spymissions
领域奔跑者,iceskysnow,个人,动作游戏,新版本,1.0.2,5,2013-05-15 17:50:00,上架,合同签署并登陆,11791229,11791204,com.divmob.fieldrunner
魔能：方碑之巫,iceskysnow,个人,动作游戏,新版本,1.2.2,9,2013-05-13 15:10:22,上架,合同签署并登陆,11777228,11777218,com.paradoxplaza.imagicka
疼痛之旅 | This Could Hurt Free,veer,个人,动作游戏,新版本,1.0.6,106,2013-05-13 15:06:23,上架,合同签署并登陆,11777048,11777030,com.chillingo.thiscouldhurtfree.android.row
狂怒的火柴人2 | Anger of Stick 2,veer,个人,动作游戏,新版本,1.1.1,12,2013-05-13 13:00:22,上架,合同签署并登陆,11776652,11776632,com.miniclip.angerofstick2
过山车3D,baobaoxiong,个人,动作游戏,新版本,1.5,15,2013-05-10 15:16:27,上架,合同签署并登陆,11507568,11507527,com.appgames.rollnyfull
猴子拳击  Monkey Boxing,veer,个人,动作游戏,新版本,1.0,1,2013-05-09 19:04:24,上架,合同签署并登陆,11763966,11763930,com.crescentmoongames.monkeyboxing
疯狂斗鼹鼠,genera,企业,动作游戏,新版本,1.0,1,2013-05-09 14:54:26,上架,合同签署信息通过,11761703,11761699,com.bravogamestudios.whackmaniaamazon
枪之荣耀二战版,haolny,个人,动作游戏,新版本,1.5.1,21,2013-05-02 18:36:21,上架,合同签署并登陆,11723106,11723098,com.yodo1.gunsandglory2
海盗宝藏3,17vee,个人,动作游戏,新版本,1.0.1,1000001,2013-04-28 17:12:26,上架,合同签署信息通过,11710134,11710089,air.Treasure3
忍者跑酷,cugtao,个人,动作游戏,升级,1.0,37,2013-04-24 16:34:43,上架,合同签署并登陆,11684774,11262487,superhl.ninjarush.mainactivity
符武宗,1917196534,个人,动作游戏,新版本,2.0,20130124,2013-04-23 14:39:36,上架,合同签署并登陆,11670498,11670487,df.android.at.darkwar.fwz.qpay.qpay
街机球赛,July125,个人,动作游戏,新版本,1.1,4,2013-04-19 20:05:41,上架,合同签署并登陆,11651409,11651349,tw.inaugurated.taumiex
3D飞镖,jiangmei880305,个人,动作游戏,新版本,1.31,31,2013-04-17 11:19:34,上架,合同签署并登陆,11633425,11633421,jp.ren.shade.DGunsSPokooo
DNF:地下城与勇士,PunchBox,企业,动作游戏,新版本,1.0.6,7,2013-04-12 09:44:58,上架,合同签署并登陆,11603792,11603788,com.Nexon.DunfightENGF1
舰艇战斗群,idreamsky,企业,动作游戏,新版本,1.1.4,5,2013-04-03 11:03:15,上架,合同签署并登陆,11555340,11555322,com.BaneGames.BattleGroup.skynet.cm
真.龙之谷,magicbird,企业,动作游戏,新版本,1.0.1,1,2013-04-01 13:17:30,上架,合同签署并登陆,11536938,11536849,jjx.game.main.act.xiaolong
笨鸟先飞,yangyang8671,个人,动作游戏,新版本,1.0,1,2013-03-29 11:31:42,上架,合同签署并登陆,11534764,11534745,com.jnkingdom.birdcanflyerwys
神奇五侠大狂奔,yangyang8671,个人,动作游戏,新版本,2.0,2,2013-03-29 11:31:30,上架,合同签署并登陆,11534705,11534676,com.zouniwys
火柴人滑雪,yangyang8671,个人,动作游戏,新版本,2.0,11,2013-03-22 12:17:21,上架,合同签署并登陆,11488509,11488500,com.djinnworks.StickmanSkiRacer.freewys
口袋英雄,miqiugame,企业,角色策略,升级,1.2,3,2013-08-20 14:26:31,上架,合同签署并登陆,12186656,12145821,cn.miq.pocketheros
蜡笔小新防御,Jamogames,企业,角色策略,新版本,1.1.9,11,2013-08-19 19:18:38,上架,合同签署并登陆,12184141,12184124,com.mrgames.jjanguplusg
超级战争,kongzhonggame,企业,角色策略,新版本,1.10,5,2013-08-19 18:48:39,上架,合同签署并登陆,12183985,12183966,com.noumena.android.TinyFortcn
美味巧克力消消看,fanyigongsi,企业,角色策略,新版本,1.0,1,2013-08-19 09:38:35,上架,合同签署并登陆,12177673,12177660,com.fox.tgllk.sikai
