item,channel
228058,生活纪实
334724,少儿
116661,音乐
19399,华语电影
19398,华语电影
19397,华语电影
116666,娱乐综艺
19394,华语电影
19393,华语电影
19392,华语电影
19391,华语电影
19390,华语电影
103548,娱乐综艺
127478,娱乐综艺
214078,体育
127473,娱乐综艺
127472,娱乐综艺
127470,娱乐综艺
82447,娱乐综艺
127475,娱乐综艺
127474,娱乐综艺
120120,音乐
215307,体育
82999,娱乐综艺
46133,生活纪实
177646,娱乐综艺
177648,体育
19973,华语电影
19972,海外电影
19971,华语电影
19970,华语电影
19977,华语电影
19976,华语电影
19975,海外电影
19974,海外电影
80597,娱乐综艺
195518,娱乐综艺
80595,娱乐综艺
19978,海外电影
80592,娱乐综艺
88026,娱乐综艺
142422,体育
101359,生活纪实
153770,娱乐综艺
52462,华语电影
64678,音乐
63027,娱乐综艺
80278,娱乐综艺
95797,生活纪实
53732,生活纪实
46703,电视剧
95793,娱乐综艺
46797,电视剧
49568,华语电影
49565,海外电影
46799,电视剧
46798,电视剧
49561,华语电影
49563,海外电影
46709,电视剧
154273,生活纪实
154272,生活纪实
154271,华语电影
154270,少儿
154277,娱乐综艺
124355,海外电影
124354,海外电影
46868,电视剧
46861,电视剧
46860,电视剧
46863,电视剧
46867,电视剧
46866,电视剧
158716,娱乐综艺
193829,生活纪实
176682,音乐
176680,音乐
176681,音乐
268149,娱乐综艺
82440,音乐
127477,娱乐综艺
115596,生活纪实
268147,生活纪实
196696,生活纪实
118808,生活纪实
258941,华语电影
258942,少儿
364710,娱乐综艺
364713,生活纪实
264998,体育
264999,少儿
364716,体育
133275,音乐
20252,华语电影
143176,娱乐综艺
143173,娱乐综艺
44427,少儿
44426,少儿
44425,少儿
44423,少儿
44422,少儿
44429,少儿
44428,少儿
340296,电视剧
340297,电视剧
340298,生活纪实
146179,娱乐综艺
179856,娱乐综艺
44701,少儿
351136,娱乐综艺
179858,娱乐综艺
97930,娱乐综艺
161613,娱乐综艺
161614,生活纪实
97937,娱乐综艺
178100,娱乐综艺
192886,华语电影
178109,娱乐综艺
263176,体育
355592,音乐
268851,生活纪实
268850,生活纪实
268852,生活纪实
257654,娱乐综艺
145439,娱乐综艺
151381,体育
351876,生活纪实
223206,娱乐综艺
168864,体育
192222,生活纪实
139980,娱乐综艺
60909,娱乐综艺
217045,音乐
217040,娱乐综艺
217041,娱乐综艺
217049,音乐
214535,娱乐综艺
214537,娱乐综艺
214531,娱乐综艺
214533,娱乐综艺
214539,生活纪实
214538,音乐
92886,生活纪实
109316,音乐
209445,音乐
114448,娱乐综艺
114449,娱乐综艺
266455,生活纪实
109311,音乐
180274,娱乐综艺
93133,娱乐综艺
104271,娱乐综艺
75288,生活纪实
164595,体育
167617,生活纪实
167612,娱乐综艺
222554,电视剧
167618,娱乐综艺
99859,娱乐综艺
57669,生活纪实
57668,少儿
99855,娱乐综艺
99857,娱乐综艺
105638,娱乐综艺
141849,音乐
102946,娱乐综艺
102947,娱乐综艺
260880,娱乐综艺
60015,生活纪实
146319,娱乐综艺
113148,娱乐综艺
357209,体育
340739,生活纪实
343271,音乐
343270,生活纪实
343273,少儿
343272,生活纪实
343275,生活纪实
343274,少儿
343277,体育
343276,生活纪实
343279,少儿
343278,生活纪实
195510,生活纪实
351969,电视剧
195515,娱乐综艺
195514,娱乐综艺
80599,娱乐综艺
80598,娱乐综艺
102369,娱乐综艺
107700,娱乐综艺
163897,生活纪实
341065,生活纪实
112235,娱乐综艺
112237,娱乐综艺
112231,娱乐综艺
112230,娱乐综艺
334112,体育
334113,娱乐综艺
347387,海外电影
347386,生活纪实
347383,生活纪实
334115,娱乐综艺
146868,少儿
271415,娱乐综艺
137183,娱乐综艺
146865,体育
137187,娱乐综艺
146867,体育
146866,体育
147192,体育
147193,体育
136855,体育
189957,娱乐综艺
226668,电视剧
147194,海外电影
189953,娱乐综艺
226664,少儿
226665,少儿
226666,少儿
226667,少儿
69724,生活纪实
211053,娱乐综艺
211052,音乐
157244,少儿
157243,海外电影
157241,娱乐综艺
331696,海外电影
331697,娱乐综艺
347035,少儿
347034,少儿
347033,生活纪实
347032,生活纪实
347031,体育
347030,体育
342603,生活纪实
342602,生活纪实
342601,生活纪实
342600,生活纪实
136580,娱乐综艺
170136,娱乐综艺
169928,娱乐综艺
169925,娱乐综艺
169923,娱乐综艺
228699,娱乐综艺
64673,音乐
147736,娱乐综艺
170689,娱乐综艺
170680,娱乐综艺
332417,娱乐综艺
91219,电视剧
332411,娱乐综艺
91212,娱乐综艺
91213,娱乐综艺
91211,娱乐综艺
225310,娱乐综艺
91214,娱乐综艺
91215,娱乐综艺
136325,娱乐综艺
132660,娱乐综艺
132662,娱乐综艺
87901,娱乐综艺
87900,娱乐综艺
109270,娱乐综艺
87907,娱乐综艺
87906,娱乐综艺
206811,生活纪实
206810,生活纪实
206813,生活纪实
206812,生活纪实
206815,生活纪实
206814,生活纪实
206817,生活纪实
206816,生活纪实
206818,生活纪实
76943,海外电影
277246,生活纪实
328530,体育
117198,海外电影
247669,娱乐综艺
247668,娱乐综艺
247665,娱乐综艺
366179,生活纪实
131311,体育
131310,生活纪实
131313,生活纪实
131312,生活纪实
336406,娱乐综艺
231045,生活纪实
231046,生活纪实
124118,电视剧
121547,娱乐综艺
117197,少儿
19327,华语电影
173562,体育
141103,体育
141106,体育
