item,"节目名称",channel,"收看人数","收看人次","收看时长（小时）","户均访问时长（分钟）","次均访问时长（分钟）","户均访问次数"
277153,"辣妈正传",电视剧,14891,189924,"80038.51","322.50","25.29","12.75"
332402,"我是特种兵之火凤凰",电视剧,12171,290501,"101497.63","500.36","20.96","23.87"
190193,"愤怒的小孩",华语电影,10952,24946,"18220.10","99.82","43.82","2.28"
238375,"西游·降魔篇",华语电影,10756,24799,"16958.84","94.60","41.03","2.31"
246354,"熊出没之丛林总动员",少儿,10399,238460,"33935.89","195.80","8.54","22.93"
272253,"小爸爸",电视剧,10126,137710,"62880.73","372.59","27.40","13.60"
236930,"十二生肖 3D",华语电影,9182,16506,"4817.03","31.48","17.51","1.80"
178234,"异星战场 3D",海外电影,8792,16645,"4310.76","29.42","15.54","1.89"
103496,"熊出没之环球大冒险",少儿,8631,172662,"25096.61","174.46","8.72","20.00"
203093,"愤怒的小鸟",少儿,8567,182585,"8502.82","59.55","2.79","21.31"
261645,"富春山居图",华语电影,8401,14425,"11217.60","80.12","46.66","1.72"
44600,"猫和老鼠",少儿,8033,152852,"16041.82","119.82","6.30","19.03"
44303,"倒霉熊",少儿,7954,278882,"16488.00","124.38","3.55","35.06"
333564,"爸爸去哪儿 沙漠之旅",娱乐综艺,7881,13876,"10342.59","78.74","44.72","1.76"
287896,"莫陌2",华语电影,7771,12599,"4599.73","35.51","21.91","1.62"
280929,"摩登年代",华语电影,7760,12236,"9411.29","72.77","46.15","1.58"
283882,"穿越火线",海外电影,7616,11044,"4863.61","38.32","26.42","1.45"
326739,"王的女人",电视剧,7519,83341,"36206.53","288.92","26.07","11.08"
329928,"奶爸挑战面食 孩子放羊",娱乐综艺,7400,13047,"9631.31","78.09","44.29","1.76"
134025,"白蛇传说 3D",华语电影,7263,13604,"3018.88","24.94","13.31","1.87"
336864,"爸爸去哪儿 沙漠之旅",娱乐综艺,7129,13655,"9227.94","77.67","40.55","1.92"
71777,"龙门飞甲 3D",华语电影,7078,17930,"5367.06","45.50","17.96","2.53"
278334,"不二神探",华语电影,6951,12113,"9070.79","78.30","44.93","1.74"
216205,"厨子戏子痞子",华语电影,6876,13043,"7673.97","66.96","35.30","1.90"
340593,"爸爸去哪儿云南之行",娱乐综艺,6865,12269,"8616.56","75.31","42.14","1.79"
326738,"打狗棍",电视剧,6755,133113,"56551.84","502.31","25.49","19.71"
339640,"咱们结婚吧",电视剧,6664,39273,"16713.65","150.48","25.53","5.89"
280931,"疯狂的导演",华语电影,6661,9460,"4174.73","37.60","26.48","1.42"
272085,"开心方程式",少儿,6608,94107,"15077.84","136.91","9.61","14.24"
20274,"越光宝盒",华语电影,6583,11270,"7372.11","67.19","39.25","1.71"
223030,"米奇妙妙屋",少儿,6559,96272,"24344.15","222.69","15.17","14.68"
253368,"小时代",华语电影,6520,11378,"7411.67","68.21","39.08","1.75"
272192,"爱爱囧事",华语电影,6490,10589,"7070.12","65.36","40.06","1.63"
146525,"生化危机4 3D",海外电影,6467,11749,"3882.67","36.02","19.83","1.82"
256562,"龙门镖局",电视剧,6390,87791,"35614.79","334.41","24.34","13.74"
271187,"雇佣兵",海外电影,6358,10141,"6314.39","59.59","37.36","1.59"
178807,"人再囧途之泰囧",华语电影,6339,11504,"7784.49","73.68","40.60","1.81"
19479,"狄仁杰之通天帝国",华语电影,6325,10525,"6679.53","63.36","38.08","1.66"
275696,"神枪狙击",电视剧,6300,55183,"24129.51","229.80","26.24","8.76"
238175,"中国合伙人",华语电影,6247,11058,"8240.20","79.14","44.71","1.77"
88228,"朋友也上床",海外电影,6084,10320,"3052.98","30.11","17.75","1.70"
335342,"一起飞",华语电影,6061,9301,"6768.94","67.01","43.67","1.53"
59855,"大闹天宫 3D",华语电影,5991,10417,"1692.49","16.95","9.75","1.74"
269506,"璀璨人生",电视剧,5977,109832,"35960.58","360.99","19.64","18.38"
273268,"天神传",华语电影,5962,8945,"2527.83","25.44","16.96","1.50"
264043,"盲探",华语电影,5948,9186,"8306.22","83.79","54.25","1.54"
214168,"北京遇上西雅图",华语电影,5903,11316,"8901.37","90.48","47.20","1.92"
329208,"小小志卖萌 爱哭鬼Cindy一秒变怪力萝莉",娱乐综艺,5852,10392,"7972.44","81.74","46.03","1.78"
244968,"《峡谷》全新预告 丑闻女星激情出演",海外电影,5851,10122,"226.68","2.32","1.34","1.73"
238241,"天天有喜",电视剧,5818,125998,"33011.56","340.44","15.72","21.66"
287082,"中国好声音总决赛李琦夺冠",娱乐综艺,5815,9419,"7336.78","75.70","46.74","1.62"
225297,"笑功震武林",华语电影,5803,11297,"7924.31","81.93","42.09","1.95"
244980,"林中女妖",海外电影,5754,8799,"3418.67","35.65","23.31","1.53"
160614,"大海啸之鲨口逃生 3D",海外电影,5681,10347,"3916.94","41.37","22.71","1.82"
248284,"新特警判官 3D",海外电影,5680,8865,"2679.46","28.30","18.14","1.56"
283699,"爱情面前谁怕谁",电视剧,5663,85759,"41550.08","440.23","29.07","15.14"
229254,"致我们终将逝去的青春",华语电影,5606,9725,"7921.51","84.78","48.87","1.73"
207961,"越来越好之村晚",华语电影,5541,9998,"7374.86","79.86","44.26","1.80"
282383,"G.NA《Top Girl》3D版",音乐,5517,13694,"620.72","6.75","2.72","2.48"
172377,"死亡飞车3:地狱烈焰",海外电影,5514,8626,"5152.59","56.07","35.84","1.56"
70033,"速度与激情5",海外电影,5499,10374,"6525.93","71.20","37.74","1.89"
231902,"女人公敌",华语电影,5476,10177,"7083.46","77.61","41.76","1.86"
124888,"海绵宝宝（全集）",少儿,5433,89092,"11579.66","127.88","7.80","16.40"
222463,"9岁李馨巧暴强翻唱名曲《Price Tag》",音乐,5320,12907,"689.57","7.78","3.21","2.43"
214840,"毒战",华语电影,5291,8568,"6276.85","71.18","43.96","1.62"
236707,"金太狼的幸福生活",华语电影,5222,9072,"6772.45","77.81","44.79","1.74"
258445,"大片",华语电影,5212,7511,"4696.04","54.06","37.51","1.44"
251404,"金刚狼",海外电影,5199,8573,"5672.91","65.47","39.70","1.65"
281682,"我爱灰太狼2",少儿,5155,10864,"4679.13","54.46","25.84","2.11"
326316,"《爸爸去哪儿》同名主题曲MV",音乐,5085,10492,"652.06","7.69","3.73","2.06"
332239,"搜神记",华语电影,5066,7096,"1425.15","16.88","12.05","1.40"
282539,"激战",华语电影,5055,7749,"6725.55","79.83","52.08","1.53"
285989,"中国好声音《歌唱祖国》国庆晚会特别节目",娱乐综艺,4998,7706,"3888.11","46.68","30.27","1.54"
258742,"花非花雾非雾",电视剧,4990,65050,"25920.87","311.67","23.91","13.04"
272448,"抹布女也有春天",电视剧,4983,70136,"27242.92","328.03","23.31","14.08"
244215,"太极2:英雄崛起 3D",华语电影,4973,7751,"2168.19","26.16","16.78","1.56"
102015,"爱情公寓3",电视剧,4930,44688,"11470.05","139.59","15.40","9.06"
248553,"白宫陷落",NULL,4914,8065,"6160.53","75.22","45.83","1.64"
282542,"笔仙2",华语电影,4912,6842,"2833.30","34.61","24.85","1.39"
284717,"宫锁沉香",华语电影,4884,8100,"6074.45","74.62","45.00","1.66"
223227,"门第",电视剧,4870,75169,"28065.02","345.77","22.40","15.44"
187962,"喜气羊羊过蛇年",少儿,4795,13940,"7568.90","94.71","32.58","2.91"
208207,"巴啦啦小魔仙3",少儿,4778,69334,"14574.85","183.02","12.61","14.51"
159028,"鳄鱼小顽皮历险记",少儿,4752,62884,"2643.01","33.37","2.52","13.23"
111519,"爱探险的朵拉",少儿,4736,63079,"16370.78","207.40","15.57","13.32"
265222,"我是裸模",华语电影,4716,6596,"1489.41","18.95","13.55","1.40"
123390,"Secret《Poison》",音乐,4699,7991,"433.93","5.54","3.26","1.70"
281681,"斩尽杀绝",海外电影,4679,6725,"3952.96","50.69","35.27","1.44"
267901,"模特魅影",华语电影,4660,7061,"2845.46","36.64","24.18","1.52"
241761,"太极1从零开始",华语电影,4636,7073,"2451.78","31.73","20.80","1.53"
337000,"快乐大本营之爸爸去哪儿专场",娱乐综艺,4634,8529,"5833.95","75.54","41.04","1.84"
105045,"近在咫尺的奇幻世界 3D",海外电影,4581,7061,"889.28","11.65","7.56","1.54"
244002,"快乐酷宝",少儿,4551,56464,"11041.46","145.57","11.73","12.41"
329695,"《爸爸去哪儿》熊孩子洗脑神曲版",音乐,4542,7465,"358.56","4.74","2.88","1.64"
271909,"光晕4:航向黎明号",海外电影,4539,6585,"2433.25","32.16","22.17","1.45"
212485,"陆贞传奇",电视剧,4527,79021,"20887.83","276.84","15.86","17.46"
96115,"蓝精灵",海外电影,4509,7357,"3137.93","41.76","25.59","1.63"
219077,"囧人之越挠越痒",华语电影,4452,6936,"4019.36","54.17","34.77","1.56"
114472,"我爱灰太狼",少儿,4418,11798,"5006.88","68.00","25.46","2.67"
108297,"巧虎宝宝版",少儿,4412,296673,"12016.45","163.41","2.43","67.24"
336031,"任昌丁《请开门》",音乐,4381,6784,"498.94","6.83","4.41","1.55"
279245,null,海外电影,4374,6843,"5363.64","73.58","47.03","1.56"
273874,"僵尸世界大战",海外电影,4371,7760,"5393.42","74.03","41.70","1.78"
267222,"轰天复仇",海外电影,4361,7618,"5221.44","71.84","41.12","1.75"
331696,"天才宝贝",海外电影,4323,5882,"3097.53","42.99","31.60","1.36"
96653,"财神客栈",华语电影,4288,8700,"5544.73","77.58","38.24","2.03"
254917,"李漫荻《找你妹》",音乐,4261,7526,"292.40","4.12","2.33","1.77"
172467,"毒火巨蟒",海外电影,4252,6208,"3248.44","45.84","31.40","1.46"
267661,"中国好声音第2季第7期全场 钟伟强毕夏终极战诠释感动",娱乐综艺,4225,8402,"6112.82","86.81","43.65","1.99"
241435,"精忠岳飞",电视剧,4219,59757,"19546.41","277.98","19.63","14.16"
272744,"艳遇丽江",华语电影,4219,5899,"2577.38","36.65","26.22","1.40"
87971,"侏罗纪公园3",海外电影,4199,6663,"3507.44","50.12","31.58","1.59"
245145,"速度与激情6 精彩飞车片段",海外电影,4199,6470,"813.77","11.63","7.55","1.54"
144783,"做次有钱人",华语电影,4171,5967,"4315.09","62.07","43.39","1.43"
